No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
1218,【スカッとする話】私が在宅ワークに切り替え6年介護した寝たきりの義父「遺産6億は全て長男夫婦に渡したwお前には一銭も残さないw」→即出ていくと義父から鬼電が…w【朗読】【スカッと】,https://www.youtube.com/watch?v=FNCNvnaZXFw,18万回視聴 / 8 か月前,人生ラジオ 5692,https://www.youtube.com/channel/UCACY-9VfdCYZj8Z24xy_e4w,3 週間前,2回視聴,【スカッとする話】私が在宅ワークに切り替え6年介護した寝たきりの義父「遺産6億は全て長男夫婦に渡したwお前には一銭も残さないw」→即出ていくと義父から鬼電が…w【朗読】【スカッと】,https://www.youtube.com/watch?v=FbezuATPWSU,100%
1219,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=DcIegdkPriU,6.5万回視聴 / 1 年前,人生ラジオ 5692,https://www.youtube.com/channel/UCACY-9VfdCYZj8Z24xy_e4w,2 週間前,88回視聴,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=X0xl-QIHKHk,100%
1220,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=xZkf_P7X0BY,9.8万回視聴 / 1 年前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,111回視聴,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=jmIQkdjG5pg,100%
1221,【スカッとする話】号泣する娘を引きずってきた婿両親。義母「貧乏な子は合わなかったw」義父「高収入の息子とは格が違うw」私「後悔しないでくださいね？」婿両親「しないしないw」3日後w【朗読】【スカッと】,https://www.youtube.com/watch?v=j2eZcUFfC0Y,3.5万回視聴 / 1 か月前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,4 週間前,4回視聴,【スカッとする話】号泣する娘を引きずってきた婿両親。義母「貧乏な子は合わなかったw」義父「高収入の息子とは格が違うw」私「後悔しないでくださいね？」婿両親「しないしないw」3日後w【朗読】【スカッと】,https://www.youtube.com/watch?v=nS8RzdBKuPI,100%
1222,【スカッとする話】私が年商1500億の社長と知らず夫を奪った夫の幼馴染「もやし生活頑張ってねw」後日、示談交渉で夫が大爆笑「貧乏生活は俺達の方だぞ？」幼馴染「は？」実は...,https://www.youtube.com/watch?v=SsTnEXgWzwI,14万回視聴 / 2 年前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,4 週間前,0 回視聴,【スカッとする話】私が年商1500億の社長と知らず夫を奪った夫の幼馴染「もやし生活頑張ってねw」後日、示談交渉で夫が大爆笑「貧乏生活は俺達の方だぞ？」幼馴染「は？」実は...,https://www.youtube.com/watch?v=qEHbErzCWgI,100%
1223,【スカッとする話】私の車のアクセルにこっそり手を加える夫。私（知らないふりしよw）翌日、車を義両親に貸し出すと、夫「ま、待ってくれ…」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=lRIrN83xkSc,6.2万回視聴 / 2 か月前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,12回視聴,【スカッとする話】私の車のアクセルにこっそり手を加える夫。私（知らないふりしよw）翌日、車を義両親に貸し出すと、夫「ま、待ってくれ…」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=ZPU0I07VM9U,100%
1224,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=DcIegdkPriU,6.5万回視聴 / 1 年前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,81回視聴,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=6sHkMVLXrQw,100%
1225,【スカッとする話】結婚式当日に夫からブチギレ電話。夫「今何時だと思ってんだ！花嫁の立場でふざけるな！」父「お前こそふざけんなよ？」電話に出たのは私の父で…【朗読】【スカッと】,https://www.youtube.com/watch?v=EeQo49qzzTA,10万回視聴 / 1 年前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,91回視聴,【スカッとする話】結婚式当日に夫からブチギレ電話。夫「今何時だと思ってんだ！花嫁の立場でふざけるな！」父「お前こそふざけんなよ？」電話に出たのは私の父で…【朗読】【スカッと】,https://www.youtube.com/watch?v=aUnrO72as7M,100%
1226,【スカッとする話】裕福な義家族と高級料亭に行くと、義兄嫁「その服で同席する気？お前とは格が違うんだよ」義母「ええ、あなたとは違うわね」義兄嫁「え？」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=InEluoUt8ik,3.3万回視聴 / 1 か月前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,0 回視聴,【スカッとする話】裕福な義家族と高級料亭に行くと、義兄嫁「その服で同席する気？お前とは格が違うんだよ」義母「ええ、あなたとは違うわね」義兄嫁「え？」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=qcJzdgpps48,100%
1227,【スカッとする話】親代わりに育てた弟の結婚式でタキシードを着た弟が1人ポツン。弟「結婚は嘘でドッキリって…」直後、普段温厚な夫が新婦一族に電話。夫「出資1億はキャンセルで」新婦一族「え？」【朗読】,https://www.youtube.com/watch?v=ZTng_6NCKl8,6万回視聴 / 8 か月前,人生劇場チャンネル5062,https://www.youtube.com/channel/UCDUjpUXLHRFyRStL02pHIwA,1 か月前,3回視聴,【スカッとする話】親代わりに育てた弟の結婚式でタキシードを着た弟が1人ポツン。弟「結婚は嘘でドッキリって…」直後、普段温厚な夫が新婦一族に電話。夫「出資1億はキャンセルで」新婦一族「え？」【朗読】,https://www.youtube.com/watch?v=BP3UUASdXFI,100%
1228,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=xZkf_P7X0BY,9.8万回視聴 / 1 年前,人生噺5066,https://www.youtube.com/channel/UCZJ4Jg1kZ3q6nlBrQJdbQnQ,1 か月前,1 回視聴,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=SO4DRPO1yXE,100%
1229,【スカッとする話】結婚式当日に夫からブチギレ電話。夫「今何時だと思ってんだ！花嫁の立場でふざけるな！」父「お前こそふざけんなよ？」電話に出たのは私の父で…【朗読】【スカッと】,https://www.youtube.com/watch?v=EeQo49qzzTA,10万回視聴 / 1 年前,人生噺5066,https://www.youtube.com/channel/UCZJ4Jg1kZ3q6nlBrQJdbQnQ,1 か月前,95回視聴,【スカッとする話】結婚式当日に夫からブチギレ電話。夫「今何時だと思ってんだ！花嫁の立場でふざけるな！」父「お前こそふざけんなよ？」電話に出たのは私の父で…【朗読】【スカッと】,https://www.youtube.com/watch?v=lRW9mtCXNXM,100%
1230,【スカッとする話】私の資産が9億あると知らず社長令嬢の愛人と再婚した元夫と再会「生活保護の貧乏人じゃんw元気？w」私「は？誰と勘違いしてるの？」真実を伝えると元夫が半狂乱にw【スカッと】【朗読】,https://www.youtube.com/watch?v=uYt37nxwb0o,1.8万回視聴 / 2 年前,人生逆転 4998,https://www.youtube.com/channel/UCGQybHqgxsQtHfsrgABLjAw,1 か月前,2回視聴,【感動する話】私の資産が9億あると知らず社長令嬢の愛人と再婚した元夫と再会「生活保護の貧乏人じゃんw元気？w」私「は？誰と勘違いしてるの？」真実を伝えると元夫が半狂乱にw,https://www.youtube.com/watch?v=m7NbdgGZFYg,100%
1231,【スカッと総集編】私の資産が9億あると知らず社長令嬢の愛人と再婚した元夫と再会「生活保護の貧乏人じゃんw元気？w」私「は？誰と勘違いしてるの？」真実を伝えると元夫が半狂乱にw,https://www.youtube.com/watch?v=lVGupM23LsE,31万回視聴 / 2 年前,人生逆転 4998,https://www.youtube.com/channel/UCGQybHqgxsQtHfsrgABLjAw,1 か月前,2回視聴,【感動する話】私の資産が9億あると知らず社長令嬢の愛人と再婚した元夫と再会「生活保護の貧乏人じゃんw元気？w」私「は？誰と勘違いしてるの？」真実を伝えると元夫が半狂乱にw,https://www.youtube.com/watch?v=m7NbdgGZFYg,100%
1232,【スカッとする話】資産5億の父と食事中、離婚直後の元夫と愛人に遭遇。元夫「また金持ちに寄生かw」直後、父の一言で2人は青ざめw【朗読】【スカッと】,https://www.youtube.com/watch?v=byOeJgVNDQo,6万回視聴 / 1 か月前,人生逆転劇,https://www.youtube.com/channel/UChQ1QPCoCPRXlD5aqltcP2Q,8 日前,0 回視聴,【スカッとする話】資産5億の父と食事中、離婚直後の元夫と愛人に遭遇。元夫「また金持ちに寄生かw」→父の一言で顔面蒼白に…【感動】【朗読】,https://www.youtube.com/watch?v=rhnqi3S2fo0,86%
1233,【スカッと総集編】妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると…【スカッと】【スカッとする話】【修羅場】,https://www.youtube.com/watch?v=zb8EIRbjwZc,2.9万回視聴 / 1 年前,人生逆転劇,https://www.youtube.com/channel/UChQ1QPCoCPRXlD5aqltcP2Q,1 か月前,26回視聴,妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると…,https://www.youtube.com/watch?v=iDMUfsZ73Bo,100%
1234,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=xZkf_P7X0BY,9.8万回視聴 / 1 年前,人生逆転噺5074,https://www.youtube.com/channel/UCSE8UrVc2WuisTfaKPVRjGA,1 か月前,1 回視聴,【スカッとする話】兄夫婦の出産祝いで父親と家を訪ねると父「今すぐ帰る！車を出せ！」慌てる父に理由を訪ねると、父「バックミラー見てみろ」私「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=nPSLaGnDiuQ,100%
1235,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=DcIegdkPriU,6.5万回視聴 / 1 年前,人生逆転噺5074,https://www.youtube.com/channel/UCSE8UrVc2WuisTfaKPVRjGA,1 か月前,1 回視聴,【スカッとする話】私を嫌う夫と息子が私を無視。私「ただいま」2人「…」息子の大学卒業式に消えると鬼電。私「私に息子はいませんが？」→息子「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=DFjWgItp_iI,100%
1236,【スカッと総集編】夫が土下座「20歳の愛人が妊娠した！離婚してくれ！」私「はい離婚届け。じゃ娘以外は連れてくね」夫「は？娘も連れていけよ」私「無理、だってこの子は…」【スカッとする話】,https://www.youtube.com/watch?v=70JSyEr3ztQ,34万回視聴 / 3 年前,人間拾遺錄,https://www.youtube.com/channel/UCfLrnpabpT2GhyhKVuZEqlg,1 か月前,4回視聴,夫が土下座「20歳の愛人が妊娠した！離婚してくれ！」私「はい離婚届け。じゃ娘以外は連れてくね」夫「は？娘も連れていけよ」私「無理、だってこの子は…」,https://www.youtube.com/watch?v=GkNbFMYSt5Q,100%
1237,【スカッと】起業した夫を支えてきた私を裏切った夫「21歳のバイトを妊娠させた！離婚しで！」私「はーい、仕事も辞めるね！」夫「は？仕事は続けてくれよ」私「嫌よ。だってあのバイト...」,https://www.youtube.com/watch?v=n-_5T-nb0dg,3.7万回視聴 / 2 年前,人間模様の記録4926,https://www.youtube.com/channel/UCnD_7fuQhUby4AEJmhWasaQ,1 か月前,65回視聴,起業した夫を支えてきた私を裏切った夫「21歳のバイトを妊娠させた！悪いが、離婚してくれ！」私「はーい、仕事も辞めるね！」夫「は？仕事は続けてくれよ」,https://www.youtube.com/watch?v=ZzA0_sJeh6I,86%
1238,【スカッと総集編】夫が亡くなった途端、我が家を勝手に解体した義両親「今日からうちで同居しろ！嫁は家政婦にしてやるw」それを聞いた私は大爆笑→私「アンタら知らないの？」実は...,https://www.youtube.com/watch?v=yUWQozZU0zY,18万回視聴 / 2 年前,人間模様の記録4926,https://www.youtube.com/channel/UCnD_7fuQhUby4AEJmhWasaQ,2 か月前,173回視聴,夫が亡くなった途端、我が家を勝手に解体した義両親「今日からうちで同居しろ！嫁は家政婦にしてやるw」それを聞いた私は大爆笑→私「アンタら知らないの？」実は...,https://www.youtube.com/watch?v=2Jz9dwuyQ5E,100%
1239,【スカッと総集編】起業した夫を支えてきた私を裏切った夫「21歳のバイトを妊娠させた！悪いが、離婚してくれ！」私「はーい、仕事も辞めるね！」夫「は？仕事は続けてくれよ」,https://www.youtube.com/watch?v=C6r_ataNQZU,18万回視聴 / 2 年前,人間模様の記録4926,https://www.youtube.com/channel/UCnD_7fuQhUby4AEJmhWasaQ,1 か月前,65回視聴,起業した夫を支えてきた私を裏切った夫「21歳のバイトを妊娠させた！悪いが、離婚してくれ！」私「はーい、仕事も辞めるね！」夫「は？仕事は続けてくれよ」,https://www.youtube.com/watch?v=ZzA0_sJeh6I,100%
1240,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」直後、静かに席を立ち上がり求婚に乱入→私と息子「死んだ全家族です」,https://www.youtube.com/watch?v=-fE68tebmjk,7.2万回視聴 / 2 年前,今日の感動する話,https://www.youtube.com/channel/UCngA_dQ1VQpTicBa3d9RDxQ,2 年前,64回視聴,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」→直後、静かに席を立ち求婚に乱入「どうも、亡き妻と息子です」,https://www.youtube.com/watch?v=6FASdsrfp-g,90%
1241,【スカッとする話】夫の連れ子の娘と暮らし始めて1年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は...」そう言って差し出された手には...,https://www.youtube.com/watch?v=BKC9CbFIESk,5.2万回視聴 / 3 年前,今日の感動する話,https://www.youtube.com/channel/UCngA_dQ1VQpTicBa3d9RDxQ,2 年前,80回視聴,【スカッとする話】夫の連れ子の娘と暮らし始めて1年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は...」そう言って差し出された手には,https://www.youtube.com/watch?v=GxYOYjqAACo,100%
1242,【スカッとする話】夫と義実家までバスで向かうと降車直前、私の腕をつかんだ運転手「ここで降りたら終わるよ。次のバス停で逃げなさい」理由を知った私は血の気が引いて…【朗読】【スカッと】,https://www.youtube.com/watch?v=79m-CwHxGq8,11万回視聴 / 6 か月前,今日の物語,https://www.youtube.com/channel/UC_S7c-tions1Eb5-YCxmvqw,6 か月前,102回視聴,「涙が止まらない…」夫と義実家までバスで向かうと降車直前、私の腕をつかんだ運転手運転手「ここで降りたら終わるよ次のバス停で逃げなさい」理由を知った私は血の気が引いて… [日本感動ドラマ],https://www.youtube.com/watch?v=BCUqrhfl0EA,89%
1243,【スカッとする話】私が毎日12時間、義父の介護をしていると知らない夫「離婚しよう…お前と一緒はもう限界…」私「本当にいいの？」夫「当然w」→介護負担を伝えず即離婚して姿を消すと…w【朗読】【スカッと】,https://www.youtube.com/watch?v=Mpi2bhYFSsQ,14万回視聴 / 9 か月前,今日の物語,https://www.youtube.com/channel/UCPXh5v9VEouZRWDFnMm2RNg,3 か月前,150回視聴,私が毎日12時間、義父の介護をしていると知らない夫「離婚しよう…お前と一緒はもう限界…」私「本当にいいの？」夫「当然w」→介護負担を伝えず即離婚して姿を消すと…w,https://www.youtube.com/watch?v=41IKF-y9FF4,100%
1244,【スカッと総集編】私の年収が2000万と知らず入院中の私を捨て愛人と再婚した夫「離婚届け出しといたｗ慰謝料として家と車は貰うｗ」私「承知しました」→3日後、半狂乱の夫から200件の鬼電がw【修羅場】,https://www.youtube.com/watch?v=sd-a4XIE7jQ,36万回視聴 / 3 年前,今日の物語、Japan sports channel ,,3 か月前,139回視聴,私の年収が2000万と知らず、入院中の私を捨てて愛人と再婚した夫――。「家も車も俺がもらうｗ」私「承知しました」3日後、青ざめた元夫から200件を超える着信が鳴り続けた…。,https://www.youtube.com/watch?v=h3dbsa2Z8pM,67%
1245,【スカッと総集編】夫が土下座「20歳の愛人が妊娠した！離婚してくれ！」私「はい離婚届け。じゃ娘以外は連れてくね」夫「は？娘も連れていけよ」私「無理、だってこの子は…」【スカッとする話】,https://www.youtube.com/watch?v=70JSyEr3ztQ,34万回視聴 / 3 年前,今日の物語、他 3 チャンネル,,3 か月前,225回視聴,「20歳の愛人が妊娠した。離婚してくれ！」土下座する夫――。私は離婚届を差し出し、「娘以外は連れて行くね」と告げた。夫「娘も連れていけよ」私「それは無理。この子は…」,https://www.youtube.com/watch?v=79M4i6b2zZI,73%
1246,【スカッとする話】義母を10年介護している私に夫「離婚してくれ…老後もお前と一緒は無理…」私「じゃあ介護と嫁辞めるね」即離婚して沖縄に引越すと夫から鬼電→携帯解約し永久に無視した結果w【朗読】,https://www.youtube.com/watch?v=tfbycPtFjbg,17万回視聴 / 11 か月前,仏壇の前で,https://www.youtube.com/channel/UCU6HJdhSw8L0jtQrNonSBmw,6 か月前,374回視聴,義母を10年介護している私に夫「離婚してくれ老後もお前と一緒は無理だ」私「じゃあ介護と嫁を辞めるね」即離婚して引越すと夫から鬼電→携帯解約し永久に無視した結果【シニアライフ】【60代以上の方へ】,https://www.youtube.com/watch?v=7ZUVhLuF3nU,97%
1247,【スカッとする話】夫が突然大量の荷物を持ってきて、夫「今日から俺の両親と姉を養う！嫌なら離婚だ！」私「え？もう離婚済みだけど？」夫「え？」結果w,https://www.youtube.com/watch?v=G4O12jIGPfg,8.7万回視聴 / 3 年前,仕事と恋愛,https://www.youtube.com/channel/UCJdDK3PzoGAbftkwZoDV7DQ,1 年前,0 回視聴,【スカッと感動】夫が突然大量の荷物を持ってきて、夫「今日から俺の両親と姉を養う！嫌なら離婚だ！」私「え？もう離婚済みだけど？」夫「え？」結果,https://www.youtube.com/watch?v=IHxc2gpXtk4,88%
1248,【スカッとする話】夫が突然大量の荷物を持ってきて、夫「今日から俺の両親と姉を養う！嫌なら離婚だ！」私「え？もう離婚済みだけど？」夫「え？」結果w,https://www.youtube.com/watch?v=G4O12jIGPfg,8.7万回視聴 / 3 年前,仕事と恋愛,https://www.youtube.com/channel/UCJdDK3PzoGAbftkwZoDV7DQ,1 年前,1 回視聴,【スカッと感動】夫が突然大量の荷物を持ってきて、夫「今日から俺の両親と姉を養う！嫌なら離婚だ！」私「え？もう離婚済みだけど？」夫「え？」結果,https://www.youtube.com/watch?v=3zempY531O8,88%
1249,【スカッとする話】年末に息子夫婦が泊まりにくると、深夜に夫が突然私を裏口に…夫「今のうちに家から出よう」私「え？年越しそば食べないの？」夫「お前気づいてないのか？」【朗読】【スカッと】,https://www.youtube.com/watch?v=AdhCK-BGvg4,13万回視聴 / 11 か月前,何も知らない猫,https://www.youtube.com/channel/UCMFQ8OeB_K8-SLaJO87_tEA,13 日前,"5,722回視聴",年末に息子夫婦が泊まりに来ると、深夜に夫が突然私を裏口に呼んだ夫「今のうちに家から出よう」私「え？年越しそば食べないの？」夫,https://www.youtube.com/watch?v=y2wJdTRtZNM,87%
1250,【スカッとする話】義母を10年介護している私に夫「離婚してくれ…老後もお前と一緒は無理…」私「じゃあ介護と嫁辞めるね」即離婚して沖縄に引越すと夫から鬼電→携帯解約し永久に無視した結果w【朗読】,https://www.youtube.com/watch?v=tfbycPtFjbg,17万回視聴 / 11 か月前,何も知らない猫,https://www.youtube.com/channel/UCMFQ8OeB_K8-SLaJO87_tEA,1 か月前,"2,772回視聴",義母を10年介護している私に夫「離婚してくれ老後もお前と一緒は無理だ」私「じゃあ介護と嫁を辞めるね」即離婚して引越すと夫から,https://www.youtube.com/watch?v=OshHthWOVro,84%
1251,【スカッとする話】嫁いびり姑が大ケガで緊急搬送され救急隊員「家族の方ですか？」私「いえ、家族ではありません」他人扱いしてやった結果...【修羅場】,https://www.youtube.com/watch?v=ESVqacNH7Kw,3.2万回視聴 / 4 年前,修羅場の女たち【スカッと漫画】,https://www.youtube.com/channel/UCj7Sd1pmMthkVVcTdi-poeg,1 年前,1 回視聴,【スカッとする話】嫁いびり姑が大ケガで緊急搬送され救急隊員「家族の方ですか？」私「いえ、家族ではありません」他人扱いしてやった結果   【修羅場】,https://www.youtube.com/watch?v=8JY4jNxDz0g,100%
1252,【スカッとする話】母が海で大ケガし緊急搬送！夫に病院に行くと相談するも「お前の母親より仕事が大事！逆らうなら離婚だ！」と離婚届を突きつけられたので、即提出してやった結果...【修羅場】,https://www.youtube.com/watch?v=SKo9NlLkMTQ,2.3万回視聴 / 4 年前,修羅場の女たち【スカッと漫画】,https://www.youtube.com/channel/UCj7Sd1pmMthkVVcTdi-poeg,1 年前,0 回視聴,【スカッとする話】母が海で大ケガし緊急搬送！夫に病院に行くと相談するも「お前の母親より仕事が大事！逆らうなら離婚だ！」と離婚届を突きつけられたので、即提出してやった結果   【修羅場】,https://www.youtube.com/watch?v=yTTwGVJ-1TM,100%
1253,【スカッとする話】医者の夫を奪ったママ友「年収3千万の医者の旦那くんの子供出来たw3ヶ月後の結婚式来てねw」私「わかった」（年収3千万の医者は私なんだけど黙っとこw）3ヶ月後w【スカッと】【朗読】,https://www.youtube.com/watch?v=B-nqblWpeIE,5.4万回視聴 / 2 年前,修羅場の管理人,https://www.youtube.com/channel/UCPhDxjB2KqaaiQCygakhqTA,10 日前,0 回視聴,私の夫を奪ったママ友「年収3000万の医者の旦那くんの子供できたw3ヶ月後の結婚式来てねw」→私「分かった（年収3000万の医者は私だけど黙っとこ）」3ヶ月後w,https://www.youtube.com/watch?v=oDCHcs8fqGs,86%
1254,【スカッとする話】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました...」→キレた私が家を売り払うと...w,https://www.youtube.com/watch?v=yefpSXnGZOg,15万回視聴 / 3 年前,修羅場スカッとTV,https://www.youtube.com/channel/UCX6Gj5DGAkaqhmu4d0djS4A,1 か月前,3回視聴,【スカッと感動】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました...」→キレた私が家を売り払うとw【修羅場】,https://www.youtube.com/watch?v=H20-Lt9iIIY,100%
1255,【スカッとする話】30年連れ添った夫と離婚すると、義母「引っ越しはまだ？」夫「早く出てけ」私「30分後に消えます」荷物が運ばれ私が車に乗ると→義母「え？何なのこの高級車は？」,https://www.youtube.com/watch?v=Tlkag3rVT5s,18万回視聴 / 2 年前,傾向のLINE,https://www.youtube.com/channel/UCFYvJCkQ741W1U9C-0MKCQg,11 か月前,0 回視聴,【LINE】30年連れ添った夫と離婚すると、義母「引っ越しはまだ？早く出てけ」私「30分後に消えます」→30分後、荷物が運ばれ私が車に乗ると…,https://www.youtube.com/watch?v=6tre-3px66Y,86%
1256,【スカッとする話】私が手術から目を覚ました日、3人の子どもは誰も見舞いに来なかった。退院後、私は家を売却し更地に→黙って姿を消し永遠に縁を切った結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=Muf1SDi7IAE,7.1万回視聴 / 7 か月前,儚い幸せ,https://www.youtube.com/channel/UCooJKX6KhAwly9k2Hj9M8lQ,1 か月前,"125,925回視聴",【スカッと】手術から目覚めた日、3人の子どもは誰一人見舞いに来なかった。退院した私は家を売却し、更地にして姿を消した――。,https://www.youtube.com/watch?v=7bNIepbIhxg,77%
1257,【スカッとする話】夫と連れ子（娘）に10年間嫌われ続けた母親の私。耐えれず新居に引越すと5年後...夫「娘が結婚する！式に来い！」私「はい」新郎側で参列すると→夫・連れ子「え？」,https://www.youtube.com/watch?v=2l9EasURZEk,5.9万回視聴 / 2 年前,兔牙尖尖,https://www.youtube.com/channel/UCS9T9zSklP4GqaU_K6-iE9Q,4 日前,0 回視聴,夫と連れ子（娘）に5年間嫌われ続けた母親の私。耐えれず新居に引越すと3年後…夫「娘が結婚する!!式に来い!!」私「はい」新郎側で参列すると→夫・連れ子「え？」,https://www.youtube.com/watch?v=rCHpXsGRQG8,96%
1258,【スカッとする話】17年前に3歳の私と不治の病の母を捨て愛人を選んだ父に再会「まだ生きてたのかｗ俺は孫も生まれて幸せだぜw」母「創業17年の会社と娘家族を紹介するわ」父「はい？」実は...,https://www.youtube.com/watch?v=hJCiwiFtPwM,8.8万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 17年前に3歳の私と不治の病の母を捨て愛人を選んだ父に再会「まだ生きてたのかｗ俺は孫も生まれて幸せだぜw」母「創業17年の会社と娘家族を紹介するわ」父「はい？」実は,https://www.youtube.com/watch?v=CGoZsaW2cdE,100%
1259,【スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=gWWRbmvBG_A,3.4万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=a4kHMkoZHmM,100%
1260,【スカッとする話】1億の庭付き一軒家を持つ金持ち自慢の婚約者の家へ結婚挨拶へ行くと婚約者「ブスだけど家政婦には良いだろw」義母「貧相な顔ｗ」義姉「実家見てみたいw」→私「では実家に招待します」結果w,https://www.youtube.com/watch?v=VZczm593KRQ,4.5万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 1億の庭付き一軒家を持つ金持ち自慢の婚約者の家へ結婚挨拶へ行くと婚約者「ブスだけど家政婦には良いだろw」義母「貧相な顔ｗ」義姉「実家見てみたいw」→私「では実家に招待します」結果w,https://www.youtube.com/watch?v=8AYn2t9XBEo,100%
